Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/5/2026,10:41:37:.291,0.291,62,35,156,30,144
3/5/2026,10:41:37:.474,0.474,62,26,156,30,144
3/5/2026,10:41:37:.589,0.589,63,27,140,30,143
3/5/2026,10:41:37:.736,0.736,68,27,146,30,143
3/5/2026,10:41:37:.850,0.85,66,23,155,30,143
3/5/2026,10:41:37:.984,0.984,66,31,155,30,142
3/5/2026,10:41:38:.097,0.097,66,32,155,30,142
3/5/2026,10:41:38:.253,0.253,83,29,200,30,142
3/5/2026,10:41:38:.377,0.377,101,29,206,30,142
3/5/2026,10:41:38:.498,0.498,101,40,206,30,141
3/5/2026,10:41:38:.621,0.621,128,40,284,30,141
3/5/2026,10:41:38:.738,0.738,128,56,284,30,141
3/5/2026,10:41:38:.850,0.85,175,76,400,30,140
3/5/2026,10:41:38:.962,0.962,179,76,417,30,140
3/5/2026,10:41:39:.077,0.077,179,86,417,30,139
3/5/2026,10:41:39:.235,0.235,220,86,488,30,139
3/5/2026,10:41:39:.352,0.352,217,93,504,30,139
3/5/2026,10:41:39:.513,0.513,217,91,493,30,139
3/5/2026,10:41:39:.643,0.643,227,95,529,30,139
3/5/2026,10:41:39:.861,0.861,227,103,529,30,139
3/5/2026,10:41:39:.979,0.979,254,103,617,30,139
3/5/2026,10:41:40:.137,0.137,254,112,617,30,139
3/5/2026,10:41:40:.280,0.28,236,101,559,30,139
3/5/2026,10:41:40:.442,0.442,242,103,557,30,139
3/5/2026,10:41:40:.592,0.592,237,104,551,30,139
3/5/2026,10:41:40:.754,0.754,237,93,551,30,139
3/5/2026,10:41:40:.895,0.895,229,97,520,30,140
3/5/2026,10:41:41:.010,0.01,222,97,522,30,140
3/5/2026,10:41:41:.144,0.144,218,87,498,30,140
3/5/2026,10:41:41:.255,0.255,219,87,518,30,140
3/5/2026,10:41:41:.367,0.367,219,94,518,30,140
3/5/2026,10:41:41:.479,0.479,214,94,510,30,140
3/5/2026,10:41:41:.660,0.66,214,82,510,30,140
3/5/2026,10:41:41:.771,0.771,203,85,480,30,140
3/5/2026,10:41:41:.902,0.902,203,85,480,30,140
3/5/2026,10:41:42:.013,0.013,203,85,480,30,140
3/5/2026,10:41:42:.129,0.129,183,85,437,30,140
3/5/2026,10:41:42:.284,0.284,183,82,437,30,140
3/5/2026,10:41:42:.409,0.409,185,74,431,30,140
3/5/2026,10:41:42:.536,0.536,197,74,444,30,140
3/5/2026,10:41:42:.647,0.647,197,74,444,30,140
3/5/2026,10:41:42:.759,0.759,187,74,449,30,140
3/5/2026,10:41:42:.889,0.889,187,74,449,30,140
3/5/2026,10:41:43:.069,0.069,190,74,456,30,140
3/5/2026,10:41:43:.184,0.184,199,82,464,30,140
3/5/2026,10:41:43:.325,0.325,199,76,464,30,140
3/5/2026,10:41:43:.525,0.525,193,87,456,30,140
3/5/2026,10:41:43:.675,0.675,196,79,472,30,140
3/5/2026,10:41:43:.795,0.795,204,79,464,30,140
3/5/2026,10:41:43:.907,0.907,204,79,464,30,140
3/5/2026,10:41:44:.022,0.022,210,79,485,30,140
3/5/2026,10:41:44:.137,0.137,210,82,485,30,140
3/5/2026,10:41:44:.320,0.32,198,82,484,30,140
3/5/2026,10:41:44:.442,0.442,210,91,487,30,140
3/5/2026,10:41:44:.553,0.553,210,91,487,30,140
3/5/2026,10:41:44:.666,0.666,210,91,487,30,140
3/5/2026,10:41:44:.781,0.781,210,89,487,30,140
3/5/2026,10:41:44:.898,0.898,208,89,492,30,140
3/5/2026,10:41:45:.050,0.05,208,81,492,30,140
3/5/2026,10:41:45:.188,0.188,209,92,477,30,140
3/5/2026,10:41:45:.369,0.369,206,92,494,30,140
3/5/2026,10:41:45:.510,0.51,203,92,474,30,140
3/5/2026,10:41:45:.627,0.627,209,91,500,30,140
3/5/2026,10:41:45:.740,0.74,209,83,500,30,140
3/5/2026,10:41:45:.897,0.897,209,83,500,30,140
3/5/2026,10:41:46:.013,0.013,197,88,467,30,140
3/5/2026,10:41:46:.132,0.132,204,88,465,30,140
3/5/2026,10:41:46:.315,0.315,204,77,465,30,140
3/5/2026,10:41:46:.452,0.452,209,88,480,30,140
3/5/2026,10:41:46:.574,0.574,204,88,474,30,140
3/5/2026,10:41:46:.707,0.707,204,83,474,30,140
3/5/2026,10:41:46:.838,0.838,202,89,455,30,140
3/5/2026,10:41:46:.965,0.965,209,90,463,30,140
3/5/2026,10:41:47:.074,0.074,199,81,462,30,140
3/5/2026,10:41:47:.232,0.232,203,81,458,30,140
3/5/2026,10:41:47:.346,0.346,215,91,510,30,140
3/5/2026,10:41:47:.465,0.465,215,84,510,30,140
3/5/2026,10:41:47:.592,0.592,197,84,466,30,140
3/5/2026,10:41:47:.720,0.72,197,93,466,30,140
3/5/2026,10:41:47:.837,0.837,217,89,518,30,140
3/5/2026,10:41:47:.949,0.949,187,83,467,30,140
3/5/2026,10:41:48:.105,0.105,197,88,476,30,140
3/5/2026,10:41:48:.260,0.26,216,91,511,30,140
3/5/2026,10:41:48:.373,0.373,197,88,471,30,140
3/5/2026,10:41:48:.485,0.485,197,88,471,30,140
3/5/2026,10:41:48:.599,0.599,222,88,509,30,140
3/5/2026,10:41:48:.710,0.71,222,85,509,30,140
3/5/2026,10:41:48:.824,0.824,202,85,464,30,140
3/5/2026,10:41:48:.937,0.937,202,83,464,30,140
3/5/2026,10:41:49:.066,0.066,220,83,517,30,140
3/5/2026,10:41:49:.181,0.181,220,88,517,30,140
3/5/2026,10:41:49:.300,0.3,194,85,436,30,140
3/5/2026,10:41:49:.414,0.414,210,85,509,30,140
3/5/2026,10:41:49:.528,0.528,210,87,509,30,140
3/5/2026,10:41:49:.642,0.642,186,87,447,30,140
3/5/2026,10:41:49:.755,0.755,186,86,447,30,140
3/5/2026,10:41:49:.872,0.872,214,86,484,30,140
3/5/2026,10:41:50:.040,0.04,214,88,484,30,140
3/5/2026,10:41:50:.157,0.157,189,83,456,30,140
3/5/2026,10:41:50:.276,0.276,209,83,489,30,140
3/5/2026,10:41:50:.447,0.447,209,85,489,30,140
3/5/2026,10:41:50:.559,0.559,194,79,454,30,140
3/5/2026,10:41:50:.674,0.674,213,79,487,30,140
3/5/2026,10:41:50:.791,0.791,213,86,487,30,140
3/5/2026,10:41:50:.903,0.903,191,86,437,30,140
3/5/2026,10:41:51:.021,0.021,191,86,437,30,140
3/5/2026,10:41:51:.133,0.133,211,86,474,30,140
3/5/2026,10:41:51:.250,0.25,211,90,474,30,140
3/5/2026,10:41:51:.368,0.368,196,90,453,30,140
3/5/2026,10:41:51:.549,0.549,196,80,453,30,140
3/5/2026,10:41:51:.664,0.664,210,88,487,30,140
3/5/2026,10:41:51:.824,0.824,210,88,487,30,140
3/5/2026,10:41:52:.050,0.05,210,80,489,30,140
3/5/2026,10:41:52:.164,0.164,198,89,450,30,140
3/5/2026,10:41:52:.279,0.279,198,89,450,30,140
3/5/2026,10:41:52:.451,0.451,198,89,450,30,140
3/5/2026,10:41:52:.599,0.599,197,94,472,30,140
3/5/2026,10:41:52:.714,0.714,195,79,471,30,140
3/5/2026,10:41:52:.837,0.837,216,90,492,30,140
3/5/2026,10:41:52:.956,0.956,216,91,492,30,140
3/5/2026,10:41:53:.068,0.068,201,91,465,30,140
3/5/2026,10:41:53:.188,0.188,201,78,465,30,140
3/5/2026,10:41:53:.310,0.31,205,78,513,30,140
3/5/2026,10:41:53:.432,0.432,205,90,513,30,140
3/5/2026,10:41:53:.552,0.552,191,79,445,30,140
3/5/2026,10:41:53:.670,0.67,212,79,481,30,140
3/5/2026,10:41:53:.828,0.828,211,88,493,30,140
3/5/2026,10:41:53:.944,0.944,182,82,443,30,140
3/5/2026,10:41:54:.060,0.06,182,78,443,30,140
3/5/2026,10:41:54:.180,0.18,213,78,480,30,140
3/5/2026,10:41:54:.295,0.295,213,86,480,30,140
3/5/2026,10:41:54:.412,0.412,185,86,445,30,140
3/5/2026,10:41:54:.526,0.526,185,84,445,30,140
3/5/2026,10:41:54:.640,0.64,212,84,492,30,140
3/5/2026,10:41:54:.757,0.757,212,85,492,30,140
3/5/2026,10:41:54:.868,0.868,189,85,442,30,140
3/5/2026,10:41:55:.047,0.047,189,86,442,30,140
3/5/2026,10:41:55:.203,0.203,215,82,494,30,140
3/5/2026,10:41:55:.323,0.323,215,86,494,30,140
3/5/2026,10:41:55:.440,0.44,215,86,487,30,140
3/5/2026,10:41:55:.556,0.556,215,82,487,30,140
